concurrency,rps,mean_latency_ms,p50_ms,p99_ms,num_requests
1,179.06,5.54,6.0,6.0,10540
2,340.72,5.83,6.0,7.0,20080
4,425.52,9.35,9.0,12.0,25095
8,456.69,17.45,17.0,58.0,26942
16,462.79,34.48,34.0,81.0,27280
32,459.61,69.45,68.0,120.0,27100
64,446.56,143.0,140.0,200.0,25880
128,436.12,292.63,280.0,350.0,24860
256,389.72,621.19,630.0,700.0,22225
