concurrency,rps,mean_latency_ms,p50_ms,p99_ms,num_requests
1,280.1,3.53,4.0,4.0,16483
2,603.92,3.27,3.0,4.0,35569
4,1093.56,3.61,3.0,6.0,64488
8,1607.05,4.92,5.0,16.0,94826
16,2003.13,7.93,7.0,51.0,118165
32,2148.82,14.82,13.0,63.0,126694
64,2220.64,28.73,23.0,89.0,128712
128,2141.91,59.64,47.0,130.0,122076
256,1871.15,129.56,120.0,210.0,106771
