concurrency,rps,mean_latency_ms,p50_ms,p99_ms,num_requests
1,193.12,5.14,5.0,6.0,11365
2,318.64,6.23,6.0,8.0,18764
4,480.51,8.26,8.0,10.0,28347
8,522.79,15.23,15.0,19.0,30852
16,533.73,29.88,29.0,74.0,31474
32,526.68,60.62,60.0,110.0,31056
64,520.82,122.57,120.0,170.0,30192
128,504.66,244.38,240.0,300.0,29798
256,522.1,489.66,480.0,550.0,28195
