concurrency,rps,mean_latency_ms,p50_ms,p99_ms,num_requests
1,148.66,6.69,7.0,8.0,8747
2,301.1,6.6,7.0,8.0,17770
4,583.47,6.8,7.0,9.0,34373
8,1185.83,6.69,7.0,9.0,69939
16,2321.46,6.83,7.0,10.0,137225
32,4528.04,7.01,7.0,11.0,267099
64,7066.62,9.0,9.0,17.0,409778
128,9458.5,13.24,13.0,27.0,548950
256,11291.15,21.41,20.0,81.0,645465
