concurrency,rps,mean_latency_ms,p50_ms,p99_ms,num_requests
1,238.76,4.15,4.0,5.0,14040
2,433.28,4.57,5.0,6.0,25548
4,667.87,5.93,6.0,8.0,39364
8,808.42,9.84,10.0,14.0,47681
16,857.32,18.59,18.0,62.0,50557
32,903.28,35.27,33.0,85.0,53378
64,908.05,70.3,66.0,130.0,52642
128,841.95,146.64,140.0,230.0,49705
256,782.68,309.33,320.0,410.0,44609
