concurrency,rps,mean_latency_ms,p50_ms,p99_ms,num_requests
1,185.33,5.35,5.0,6.0,10914
2,374.97,5.28,5.0,7.0,22121
4,542.72,7.31,7.0,9.0,32012
8,657.26,12.11,12.0,55.0,38763
16,674.69,23.63,22.0,71.0,39775
32,670.82,47.59,46.0,110.0,39583
64,660.71,96.59,87.0,170.0,38305
128,649.49,196.84,190.0,290.0,37012
256,604.52,421.83,430.0,580.0,32639
