concurrency,rps,mean_latency_ms,p50_ms,p99_ms,num_requests
1,75.45,13.2,13.0,15.0,4519
2,135.61,14.67,15.0,17.0,8120
4,273.5,14.56,14.0,23.0,16387
8,409.71,19.45,19.0,33.0,24545
16,443.44,35.99,35.0,85.0,26553
32,450.75,70.86,70.0,130.0,26994
64,442.82,144.31,140.0,210.0,26125
128,411.37,300.7,290.0,380.0,24654
256,381.71,637.36,660.0,710.0,22141
