concurrency,rps,mean_latency_ms,p50_ms,p99_ms,num_requests
1,94.33,10.57,10.0,12.0,5551
2,197.22,10.08,10.0,12.0,11620
4,402.59,9.89,10.0,12.0,23731
8,733.62,10.84,11.0,15.0,43242
16,1142.26,13.94,13.0,22.0,67393
32,1084.96,29.4,25.0,72.0,63995
64,1146.36,55.72,46.0,160.0,66440
128,1161.46,109.91,91.0,300.0,66270
256,1130.45,217.28,160.0,560.0,64532
