concurrency,rps,mean_latency_ms,p50_ms,p99_ms,num_requests
1,115.34,8.63,9.0,10.0,6791
2,208.19,9.56,10.0,11.0,12262
4,368.9,10.78,10.0,14.0,21759
8,426.96,18.67,19.0,26.0,25171
16,439.21,36.34,35.0,87.0,25906
32,437.81,72.94,71.0,130.0,25817
64,425.55,149.98,140.0,220.0,24667
128,411.89,310.01,300.0,390.0,23474
256,371.76,651.58,660.0,740.0,21188
